id,trade_date,district,building_type,text_representation
RPRNMLRLJHOFFCA97CA,2019-01-10,中山區,住宅大樓(11層含以上有電梯),"行政區：中山區
建物型態：住宅大樓(11層含以上有電梯)
主要建材：鋼筋混凝土造
屋齡：8.34 年
建物坪數：95.73 坪
主建物坪數：44.56 坪
樓層：2 / 14
樓層比例：0.14
格局：4 房 2 廳 2 衛
車位：有
車位面積：74.52
管理組織：有
電梯：缺失
房屋狀態備註標記：0
裝潢標記：0
廣泛備註標記：0"
RPQPMLOLJHOFFDA87CA,2019-01-15,信義區,套房(1房1廳1衛),"行政區：信義區
建物型態：套房(1房1廳1衛)
主要建材：鋼筋混凝土造
屋齡：缺失 年
建物坪數：14.97 坪
主建物坪數：9.46 坪
樓層：3 / 12
樓層比例：0.25
格局：1 房 1 廳 1 衛
車位：無
車位面積：0.00
管理組織：有
電梯：缺失
房屋狀態備註標記：0
裝潢標記：0
廣泛備註標記：0"
RPTNMLLMJHOFFEA87CA,2019-01-11,北投區,套房(1房1廳1衛),"行政區：北投區
建物型態：套房(1房1廳1衛)
主要建材：鋼筋混凝土造
屋齡：23.56 年
建物坪數：13.10 坪
主建物坪數：9.13 坪
樓層：5 / 5
樓層比例：1.00
格局：1 房 0 廳 1 衛
車位：無
車位面積：0.00
管理組織：有
電梯：缺失
房屋狀態備註標記：0
裝潢標記：0
廣泛備註標記：0"
RPTOMLKMJHOFFAA47CA,2019-01-01,中正區,公寓(5樓含以下無電梯),"行政區：中正區
建物型態：公寓(5樓含以下無電梯)
主要建材：加強磚造
屋齡：缺失 年
建物坪數：39.15 坪
主建物坪數：39.15 坪
樓層：2 / 4
樓層比例：0.50
格局：4 房 2 廳 2 衛
車位：無
車位面積：0.00
管理組織：無
電梯：缺失
房屋狀態備註標記：0
裝潢標記：0
廣泛備註標記：0"
RPUQMLKMJHOFFCA97CA,2019-01-06,內湖區,華廈(10層含以下有電梯),"行政區：內湖區
建物型態：華廈(10層含以下有電梯)
主要建材：鋼筋混凝土造
屋齡：34.93 年
建物坪數：33.99 坪
主建物坪數：23.07 坪
樓層：7 / 7
樓層比例：1.00
格局：3 房 2 廳 2 衛
車位：無
車位面積：0.00
管理組織：有
電梯：缺失
房屋狀態備註標記：0
裝潢標記：0
廣泛備註標記：0"
RPXNMLMKKHOFFCA08CA,2019-01-10,中山區,套房(1房1廳1衛),"行政區：中山區
建物型態：套房(1房1廳1衛)
主要建材：鋼筋混凝土造
屋齡：10.61 年
建物坪數：22.74 坪
主建物坪數：7.65 坪
樓層：4 / 13
樓層比例：0.31
格局：1 房 1 廳 1 衛
車位：有
車位面積：16.63
管理組織：有
電梯：缺失
房屋狀態備註標記：0
裝潢標記：0
廣泛備註標記：0"
RPSNMLSLJHOFFCA18CA,2019-01-06,內湖區,公寓(5樓含以下無電梯),"行政區：內湖區
建物型態：公寓(5樓含以下無電梯)
主要建材：鋼筋混凝土造
屋齡：35.58 年
建物坪數：25.75 坪
主建物坪數：20.16 坪
樓層：4 / 5
樓層比例：0.80
格局：3 房 2 廳 1 衛
車位：無
車位面積：0.00
管理組織：無
電梯：缺失
房屋狀態備註標記：1
裝潢標記：0
廣泛備註標記：0"
RPQSMLSLJHOFFDA68DA,2019-01-06,松山區,華廈(10層含以下有電梯),"行政區：松山區
建物型態：華廈(10層含以下有電梯)
主要建材：鋼筋混凝土造
屋齡：40.80 年
建物坪數：34.12 坪
主建物坪數：25.06 坪
樓層：6 / 7
樓層比例：0.86
格局：3 房 2 廳 2 衛
車位：無
車位面積：0.00
管理組織：有
電梯：缺失
房屋狀態備註標記：0
裝潢標記：0
廣泛備註標記：0"
RPUOMLKMJHOFFFA08CA,2019-01-17,大安區,套房(1房1廳1衛),"行政區：大安區
建物型態：套房(1房1廳1衛)
主要建材：鋼筋混凝土造
屋齡：31.53 年
建物坪數：12.18 坪
主建物坪數：6.91 坪
樓層：8 / 10
樓層比例：0.80
格局：1 房 0 廳 1 衛
車位：無
車位面積：0.00
管理組織：有
電梯：缺失
房屋狀態備註標記：0
裝潢標記：0
廣泛備註標記：0"
RPSOMLLJKHOFFDA57CA,2019-01-09,松山區,套房(1房1廳1衛),"行政區：松山區
建物型態：套房(1房1廳1衛)
主要建材：鋼筋混凝土造
屋齡：1.30 年
建物坪數：17.95 坪
主建物坪數：10.07 坪
樓層：5 / 12
樓層比例：0.42
格局：1 房 1 廳 1 衛
車位：無
車位面積：0.00
管理組織：有
電梯：缺失
房屋狀態備註標記：0
裝潢標記：0
廣泛備註標記：0"
