fold_id,feature,feature_group,gain_importance,split_importance
7,emb_1095d_std_price,embedding_reranker_comparable,1180220.5861053467,1070.0
7,emb_1095d_weighted_mean_price,embedding_reranker_comparable,38253043.99166107,945.0
7,emb_730d_count,embedding_reranker_comparable,0.0,0.0
7,emb_730d_max_reranker_score,embedding_reranker_comparable,1269250.9391784668,909.0
7,emb_730d_max_similarity,embedding_reranker_comparable,601870.4462585449,605.0
7,emb_730d_mean_price,embedding_reranker_comparable,525172.4631195068,551.0
7,emb_730d_mean_reranker_score,embedding_reranker_comparable,760500.1351852417,670.0
7,emb_730d_mean_similarity,embedding_reranker_comparable,452164.7497406006,463.0
7,emb_730d_median_age_diff,embedding_reranker_comparable,1057008.428062439,891.0
7,emb_730d_median_area_diff_pct,embedding_reranker_comparable,758103.5964355469,828.0
7,emb_730d_median_days_diff,embedding_reranker_comparable,785513.814529419,849.0
7,emb_730d_median_price,embedding_reranker_comparable,778258.4687423706,658.0
7,emb_730d_median_similarity,embedding_reranker_comparable,516479.04205322266,562.0
7,emb_730d_nearest_price,embedding_reranker_comparable,1519246.1252288818,901.0
7,emb_730d_std_price,embedding_reranker_comparable,1270586.3564605713,1114.0
7,emb_730d_weighted_mean_price,embedding_reranker_comparable,22110344.71862793,778.0
7,floor,basic_housing,3488319.7660369873,970.0
7,floor_ratio,basic_housing,870221.7994995117,782.0
7,has_elevator,basic_housing,78468.2152709961,33.0
7,has_management,basic_housing,208512.90522766113,144.0
7,has_parking,basic_housing,823397.171585083,203.0
7,is_basement,basic_housing,0.0,0.0
7,land_area_m2,basic_housing,2446854.859649658,1965.0
7,living_rooms,basic_housing,388161.5886993408,239.0
7,main_building_area_m2,basic_housing,1742835.443939209,1497.0
7,main_building_area_ping,basic_housing,360796.14015197754,286.0
7,main_use_missing,note_or_quality_flags,9833.801086425781,8.0
7,material,location_time,776203.6361541748,338.0
7,multi_floor,basic_housing,136502.73025512695,90.0
7,parking_area_m2,basic_housing,2040641.374633789,998.0
7,physical_condition_flag,note_or_quality_flags,249394.11459350586,175.0
7,renovation_flag,note_or_quality_flags,36671.35437774658,57.0
7,rooms,basic_housing,1000722.4657058716,493.0
7,total_floor,basic_housing,1273353.18875885,954.0
7,trade_month,location_time,221863.33097076416,279.0
7,trade_quarter,location_time,118321.12173461914,135.0
7,trade_year,location_time,126686.79749298096,127.0
7,trade_yq,location_time,173944.43668365479,207.0
8,auxiliary_area_m2,basic_housing,1591446.2640838623,1135.0
8,balcony_area_m2,basic_housing,1387481.4772033691,1271.0
8,bathrooms,basic_housing,292695.2401351929,239.0
